Medicines,Drugs
Lilac ,Lactulose 
Lumark  ,Levetiracetam 
Lumark ,Levetiracetam 
Lipitor ,Atorvastatin calcium trihydrate 
Lowplat ,Clopidogrel Bisulphate 
Lamisil ,Terbinafine 
Lerace ,Levetiracetam 
Lowplat Plus ,Clopidogrel Bisulphate 
Levopraid ,Levosulpiride 
Laxoberon ,Sodium Picosulphate 
Lacri-lube  ointment,Chlorobutanol
Lastolip ,Atorvastatin calcium trihydrate 
Lincocin ,lincomycin 
Lophos Tablets  tablet,Calcium Supplement
Lochol ,Atorvastatin calcium trihydrate 
Lescol ,Fluvastatin 
Levopraid ,Levosulpiride
Lamisil ,"Terbinafine, Topical "
Lyta ,Duloxetine 
Leradip ,Lercanidipine 
Lezra Excel ,Letrozole 
Lipiget EZ ,Atorvastatin calcium trihydrate 
Lotepred Forte ,Loteprednol Etabonate 
Lacasil ,Lactitol
Lomexin vaginal,Fenticonazole 
Lodopin ,Amlodipine
Limopride ,Glimepiride 
Lamadol ,Tramadol 
Lacolep ,Lacosamide 
Lacolit ,Lacosamide 
Lacova ,Lacosamide 
Lalap ,Lacosamide 
Lagintal ,Lamotrigine 
Lamictal ,Lamotrigine 
Lamnet ,Lamotrigine 
Lamonil ,Lamotrigine 
Limgit ,Lamotrigine 
Lojin ,Lamotrigine 
Lomogin ,Lamotrigine 
Lekra ,Levetiracetam 
Lepsi ,Levetiracetam 
Levefil ,Levetiracetam 
Levotam ,Levetiracetam 
Lyrica ,Pregabalin. 
Legent ,Topiramate 
Lintiz ,Tizanidine 
Listan ,Valsartan 
Listan-HT ,Valsartan 
Losaan ,Losartan Potassium 
Losanta ,Losartan Potassium 
Lomac ,Esomeperazole 
Larith ,Clarithromycin 
Lamcy-T ,cinnarizine 
Lotepred-T ,Loteprednol Etabonate 
Lamcy ,cinnarizine 
Lotenol Forte ,Loteprednol 
Larinex ,Desloratadine 
Leozin ,Levocetirizine 
Lukodermine ,Methoxsalen 
Lacnovex ,Lactulose 
Lactozaf ,Lactulose 
Laevolac ,Lactulose 
Lansor ,Lansoprazole 
Lanzit ,Lansoprazole 
Lasogap ,Lansoprazole 
Lcyn ,Levofloxacin 
Lecin ,Levofloxacin 
Leflo ,Levofloxacin 
Leflotec ,Levofloxacin 
Leflox ,"Levofloxacin, Inf/Oral "
Leoflox ,Levofloxacin 
Lequix ,Levofloxacin 
Levaq ,Levofloxacin 
Levite ,Levofloxacin 
Levo ,Levofloxacin 
Levo-F ,Levofloxacin 
Levocil ,Levofloxacin 
Levoday ,Levofloxacin 
Levofin ,Levofloxacin 
Levofloxa ,Levofloxacin 
Levolife ,Levofloxacin 
Levolis ,Levofloxacin 
Levomerc ,Levofloxacin 
Levopal ,Levofloxacin 
Levoscot ,Levofloxacin 
Levovis ,Levofloxacin 
Levoxin ,Levofloxacin 
Locus ,Levofloxacin 
Loxycin ,Levofloxacin 
Loragix ,Loratadine 
Lorate ,Loratadine 
Lame ,Lisinopril dihydrate 
Lisna ,Lisinopril dihydrate 
Lispril ,Lisinopril dihydrate 
Lotide ,Lisinopril dihydrate 
Lamoretic ,Lisinopril dihydrate 
Limigzol ,Zolmitriptan 
Lasoride ,Furosemide 
Lomotil ,Diphenoxylate and Atropine 
Linzim ,Cefixime 
Linzim DS,Cefixime 
Lumigan Opthalmic  ,Bimatoprost 
Lenwin ,Cephradine 
Lonac ,Diclofenac Sodium 
Liometacen ,Indomethacin 
Lefanor ,Leflunomide 
Lefora ,Leflunomide 
Loxidol ,Meloxicam 
Loster ,Rosuvastatin calcium 
Letrozone ,Letrozole 
Liptin ,Vildagliptin
Loratine  tablet,Loratadine
Lizobal ,Mecobalamin
Lizobal ,Mecobalamin 
Lorin-NSA ,Loratadine 
Lipotrim ,Atorvastatin calcium trihydrate 
Lacticare HC ,Hydrocortisone 
Lyta  ,Duloxetine 
Lodopin ,Amlodipine 
Lucast Sachet ,Montelukast 
Lucast ,Montelukast 
Lukomon ,Montelukast 
Lungair ,Montelukast 
Losanta DIU ,Hydrochlorothiazide 
Lipirex ,Atorvastatin calcium trihydrate 
Listan-AM ,Amlodipine 
Librax ,Chlordiazepoxide 
Lincocin     ,lincomycin 
Lomexin ,Fenticonazole 
Lurisa ,Lurasidone 
Luner ,Flunarizine 
Lodopin-V ,Amlodipine besylate 
Levolis ,"Levofloxacin, Inf/Oral "
LVT ,Levetiracetam 
Lanzol ,Lansoprazole 
Lamitor ,Lamotrigine 
Lubrisol  drops,Hypromellose
Lomisec ,Omeprazole 
Lerace  injection,Levetiracetam
Lerace XR ,Levetiracetam 
Limol ,L-Methylfolate 
Locyst ,B12 
Lipomax  powder,Multivitamin with Mineral
Limet ,Linezolid 
Lipirex  ,Atorvastatin calcium trihydrate 
Lanoxin ,Digoxin
Lysovit  syrup,Vitamin B complex plain and with Vitamin C
Lidosporin Ear Drops  drops,Polymyxin B
Lederplex  syrup,Vitamin B complex plain and with Vitamin C
Labetalol ,Labetalol 
Leviva ,Levocetirizine 
Levocit ,Levocetirizine 
Loprin ,Aspirin 
Loxic ,Meloxicam 
Lorel ,Loratadine 
Lanoxin ,Digoxin 
Loratine ,Loratadine 
Lisformin ,Metformin 
Lexotanil ,Bromazepam 
Lederiif ,Rifampicin 
Lacticare Lotion ,Lactic acid containing topicals 
LIPOFUNDIN ,Fat Emulsion
Lozatin ,Losartan Potassium 
Labetalol ,Labetalol HCl 
Ligazo ,Pioglitazone 
Loricin ,Nalbuphine 
Ligno Ans ,Lignocaine 
Lignocaine Inj ,Lignocaine 
Lignocaine with Adrenaline Inj ,Lignocaine With Adrenaline 
Leptic ,Carbamazepine 
Leptil ,Divalproex Sodium 
Lamgin ,Lamotrigine 
Lamogine ,Lamotrigine 
Lamprene ,Lamotrigine 
Longtel ,Lamotrigine 
Levtral ,Levetiracetam 
Levetram ,Levetiracetam 
Levezine ,Levetiracetam 
Levic ,Levetiracetam 
Levitra ,Levetiracetam 
Leptosuccin ,Suxamethonium 
Locand ,Candesartan Cilexetil 
Larsen ,Losartan Potassium 
Lendra ,Alendronate 
Lendrol-D ,Alendronate 
Loxiam ,Raloxifene 
Lozana ,Danazol 
Lectrum ,Leuprorelin Acetate 
Lucrin ,Leuprorelin Acetate 
Liskomet ,Methyldopa 
Legrace ,Esomeperazole 
Lomogray ,Diphenoxylate 
Lerithin ,Clarithromycin 
Lotepred ,Loteprednol 
Lotodine ,Desloratadine 
Levocitrin ,Levocetirizine 
Laifulong ,Interferon Alfa-2b. 
Lastet ,Etoposide 
Leucon ,Fluconazole 
Luconazol ,Fluconazole 
Lumen ,Fluconazole 
Lunim ,Fluconazole 
Lacnan ,Lactulose 
Lactil ,Lactulose 
Lactodil ,Lactulose 
Lactofine ,Lactulose 
Lactogiz ,Lactulose 
Lactomed ,Lactulose 
Lactosav ,Lactulose 
Lactosel ,Lactulose 
Lactosep ,Lactulose 
Lactosole ,Lactulose 
Lactowitt ,Lactulose 
Lactozeb ,Lactulose 
Lactulac ,Lactulose 
Lactusure ,Lactulose 
Laxamen ,Lactulose 
Lamidin ,Lamivudine 
Lamivir ,Lamivudine 
Lamiwin ,Lamivudine 
Lamrin ,Lamivudine 
Lamudine ,Lamivudine 
Lumovid ,Lamivudine 
L-Sol ,Lansoprazole 
La-Cap ,Lansoprazole 
Lab ,Lansoprazole 
Ladazole ,Lansoprazole 
Lancerid ,Lansoprazole 
Lancet ,Lansoprazole 
Lanex ,Lansoprazole 
Lanosh ,Lansoprazole 
Lanprol ,Lansoprazole 
Lanroz ,Lansoprazole 
Lanso-Zol ,Lansoprazole 
Lansocid ,Lansoprazole 
Lansoft ,Lansoprazole 
Lansolib ,Lansoprazole 
Lansoloc ,Lansoprazole 
Lansomed ,Lansoprazole 
Lansomeg ,Lansoprazole 
Lansop ,Lansoprazole 
Lansopulse ,Lansoprazole 
Lansorex ,Lansoprazole 
Lansotech ,Lansoprazole 
Lansoval ,Lansoprazole 
Lansowin ,Lansoprazole 
Lansoyan ,Lansoprazole 
Lanstop ,Lansoprazole 
Lantol ,Lansoprazole 
Lantop ,Lansoprazole 
Lanz ,Lansoprazole 
Lanzac ,Lansoprazole 
Lanzan ,Lansoprazole 
Lanzel ,Lansoprazole 
Lanzop ,Lansoprazole 
Lanzprazole ,Lansoprazole 
Lapis ,Lansoprazole 
Lapravis ,Lansoprazole 
Laprazole ,Lansoprazole 
Laprole ,Lansoprazole 
Laprosyd ,Lansoprazole 
Laproz ,Lansoprazole 
Lazol ,Lansoprazole 
Lazole ,Lansoprazole 
Legzol ,Lansoprazole 
Lensonen ,Lansoprazole 
Letzol ,Lansoprazole 
Lexical ,Lansoprazole 
Lintox ,Lansoprazole 
Logerd ,Lansoprazole 
Losazole ,Lansoprazole 
Losin ,Lansoprazole 
Losyd ,Lansoprazole 
Latan ,Latanoprost 
Latep ,Latanoprost 
Latim ,Latanoprost 
Lavomox ,Levofloxacin 
Lazer ,Levofloxacin 
Le-,Levofloxacin 
Le-Cap ,Levofloxacin 
Le-Sive ,Levofloxacin 
Lecord ,Levofloxacin 
Leemax ,Levofloxacin 
Leetab ,Levofloxacin 
Lefexy ,Levofloxacin 
Leflocin ,Levofloxacin 
Lefnil ,Levofloxacin 
Lefoxin ,Levofloxacin 
Legreat ,Levofloxacin 
Leocin ,Levofloxacin 
Leon ,Levofloxacin 
Leovin ,Levofloxacin 
Lesim ,Levofloxacin 
Levanic ,Levofloxacin 
Levaq Ds ,Levofloxacin 
Levatazet ,Levofloxacin 
Levee ,Levofloxacin 
Levenx ,Levofloxacin 
Levesta ,Levofloxacin 
Levilox ,Levofloxacin 
Levin ,Levofloxacin 
Levlong ,Levofloxacin 
Levobact ,Levofloxacin 
Levobay ,Levofloxacin 
Levocap ,Levofloxacin 
Levocid ,Levofloxacin 
Levocin ,Levofloxacin 
Levocure ,Levofloxacin 
Levoden ,Levofloxacin 
Levofaz ,Levofloxacin 
Levofend ,Levofloxacin 
Levoferit ,Levofloxacin 
Levoflomed ,Levofloxacin 
Levogen ,Levofloxacin 
Levogood ,Levofloxacin 
Levogreen ,Levofloxacin 
Levoheim ,Levofloxacin 
Levolex ,Levofloxacin 
Levolite ,Levofloxacin 
Levomay ,Levofloxacin 
Levomed ,Levofloxacin 
Levomin ,Levofloxacin 
Levonag ,Levofloxacin 
Levonen ,Levofloxacin 
Levonic ,Levofloxacin 
Levopharm ,Levofloxacin 
Levoprox ,Levofloxacin 
Levort ,Levofloxacin 
Levorx ,Levofloxacin 
Levosafe ,Levofloxacin 
Levosat ,Levofloxacin 
Levoson ,Levofloxacin 
Levosrch ,Levofloxacin 
Levosyn ,Levofloxacin 
Levotel ,Levofloxacin 
Levotril ,Levofloxacin 
Levox ,Levofloxacin 
Levozor ,Levofloxacin 
Levyan ,Levofloxacin 
Levzat ,Levofloxacin 
Lexof ,Levofloxacin 
Lezov ,Levofloxacin 
Linatic ,Levofloxacin 
Lix ,Levofloxacin 
Lotoflox ,Levofloxacin 
Lovafam ,Levofloxacin 
Loxiwell ,Levofloxacin 
Lrza ,Levofloxacin 
Lurk ,Levofloxacin 
Lomide ,Loperamide 
Lopamide ,Loperamide 
Lopedium ,Loperamide 
Loperam ,Loperamide 
Lopim ,Loperamide 
Lopra ,Loperamide 
Leksus ,Loratadine 
Lexidex ,Loratadine 
Loratamed ,Loratadine 
Lorazid ,Loratadine 
Lantus ,Insulin Glargine 
Lantus optiset ,Insulin Glargine 
Lantus solostar ,Insulin Glargine 
Levemir Flexpen,Insulin Detemir 
Lace ,Lisinopril dihydrate 
Liface ,Lisinopril dihydrate 
Lisopril ,Lisinopril dihydrate 
Lipra ,Ramipril 
Losamide ,Furosemide 
Lomitomed ,Diphenoxylate and Atropine 
Lowclar ,Cefaclor 
Lowpime ,Cefepime 
Libroxime ,Cefixime 
Linaspan ,Cefixime 
Legat ,Ceftriaxone 
Lendacin ,Ceftriaxone 
Libocef ,Ceftriaxone 
Locril ,Clopidogrel Bisulphate 
Libroxin ,Cefuroxime 
Lictyn ,Cefuroxime 
Lexcef ,Cephalexin 
Lexicef ,Cephalexin 
Lexiwan ,Cephalexin 
Lincef ,Cephazolin 
Leceph ,Cephradine 
Librocef ,Cephradine 
Lithotrope SR ,Lithium Carbonate 
Lecoxib ,Celecoxib 
Lisodim ,Diclofenac Sodium 
Lopran ,Diclofenac Sodium 
Lubifen ,Flurbiprofen 
Lefline ,Leflunomide 
Lefluno ,Leflunomide 
Lefmid ,Leflunomide 
Lefodil ,Leflunomide 
Lefona ,Leflunomide 
Lenomide ,Leflunomide 
Life ,Leflunomide 
Lumide ,Leflunomide 
Lorcam ,Lornoxicam 
Loricam ,Lornoxicam 
Lornex ,Lornoxicam 
Lorzaf ,Lornoxicam 
Lowastrin ,Loxoprofen sodium 
Loxfen ,Loxoprofen sodium 
Loxonin ,Loxoprofen sodium 
Loxigood ,Meloxicam 
Loxirax ,Meloxicam 
Loprex ,Naproxen 
Lowxen ,Naproxen 
Ledoren ,Nimesulide 
Locam ,Piroxicam 
Locam Plus ,Piroxicam-beta-cyclodextrin 
Lagita Advance  liquid,Alginate Compound
Lantigen-B ,Streptococcus pneumoniae type 3 
Lyssavac-N ,Rabies vaccine 
Letara ,Letrozole 
Lazma Cream ,"Hydroquinone, Tretinoin, and Fluocinolone Acetonid"
Lonstan ,Mefenamic Acid 
Liqmol ,Paracetamol 
Lazma  cream,"Hydroquinone, Tretinoin, and Fluocinolone Acetonid"
Lakas ,Montelukast 
Lekotin ,Montelukast 
Linakast ,Montelukast 
Lowcast ,Montelukast 
Lukrx ,Montelukast 
Lulast ,Montelukast 
Lotricort-G  cream,"Betamethasone Dipropionate, and Clotrimazole, topi"
Lexapram ,Citalopram 
Lampro ,Alprazolam
Levhale Respules (,Levalbuterol HCl
Losascot Plus ,Hydrochlorithiazide 
Leaf ,Amlodipine 
Losascot ,Losartan Potassium 
Likzone ,Ceftriaxone 
Luxave ,Lactulose 
Lotrix Cream  cream,Permethrin
Lignocaine Gel ,Lignocaine
Lipivastin ,Atorvastatin calcium trihydrate 
Lowmet ,Metformin 
Liimzel ,Repaglinide 
Lidex ,Lignocaine 
Lignocaine Jelly ,Lignocaine 
Locain ,Lignocaine 
Logel ,Lignocaine 
Lexopine ,Carbamazepine 
Leuconil ,Clotrimazole 
Lomixin Vaginal ,Fenticonazole 
Lexodin ,Orphenadrine 
Lentil ,Tizanidine 
Liskomycetin ,Chloramphenicol 
Loxon ,Diloxanide Furoate 
Lobate ,Clobetasol 
Lobact Forte ,Trimethoprim 
Lobact ,Trimethoprim 
Lawrvinate ,Dimehydrinate 
Loment ,Amoxicillin 
Lophase ,Prednisolone 
L-Citriza ,Levocetirizine 
Le-Vin ,Levocetirizine 
Lecet ,Levocetirizine 
Lecetzi ,Levocetirizine 
Leridal ,Levocetirizine 
Lerozin ,Levocetirizine 
Letazim ,Levocetirizine 
Letrix ,Levocetirizine 
Leve-Cit ,Levocetirizine 
Levera ,Levocetirizine 
Levil ,Levocetirizine 
Levocetrin ,Levocetirizine 
Levogix ,Levocetirizine 
Levoline ,Levocetirizine 
Linazine ,Cetirizine 
Lotozin ,Cetirizine 
Lymhoside ,Etoposide 
Leuconal ,Fluconazole 
Leket ,Ketotifen 
Lactobex ,Lactulose 
Lalose ,Lactulose 
Lokit ,Loperamide 
Lopemid ,Loperamide 
Loramex ,Loperamide 
L-Din ,Loratadine 
Liris ,Loratadine 
Lodine ,Loratadine 
Lohist ,Loratadine 
Loin ,Loratadine 
Loine ,Loratadine 
Lor ,Loratadine 
Loracent ,Loratadine 
Loranees ,Loratadine 
Lorata ,Loratadine 
Loratagen ,Loratadine 
Loratascot ,Loratadine 
Lorated ,Loratadine 
Loratlax ,Loratadine 
Loratodix ,Loratadine 
Loratop ,Loratadine 
Loratus ,Loratadine 
Laporide ,Enalapril Maleate 
Lopritol ,Enalapril Maleate 
Lisinolib ,Lisinopril dihydrate 
Lopramex ,Loperamide 
L-Pol ,Paracetamol 
Lefin CF ,Paracetamol 
Lefin ,Paracetamol 
Lotricort G Ointment  tablet,"Betamethasone Dipropionate, Topical"
Lowcef ,Cephradine 
Lofen ,Diclofenac potassium 
Lopran-P ,Diclofenac potassium 
Luxafen K ,Diclofenac potassium 
Lifdic ,Diclofenac Sodium 
Lodic ,Diclofenac Sodium 
Lofsim ,Diclofenac Sodium 
Lotofenac ,Diclofenac Sodium 
Lemach ,Ibuprofen 
Lotoxicam ,Meloxicam 
Loxatec ,Meloxicam 
Loxicam ,Meloxicam 
Lemide ,Nimesulide 
Lide ,Nimesulide 
Limbar ,Piroxicam 
L-pol ,Paracetamol 
Larmol ,Paracetamol 
Myteka ,Montelukast 
Myteka Tablet ,Montelukast 
Myteka Sachet ,Montelukast 
Myrin-P Forte  tablet,Rifampicin
Maxflow ,Tamsulosin HCl 
Montiget ,Montelukast 
Motival  tablet,Fluphenazine
Mercip ,Ciprofloxacin 
Maxolon ,Metoclopramide
Mirtazep ,Mirtazapine
Mirtazep ,Mirtazapine 
Monopril ,Fosinopril Sodium
M-low ,Amlodipine
Morcet ,Escitalopram 
Mecobal ,Mecobalamin 
Myonal ,Eperisone 
Myfortic ,Mycophenolate 
Minirin ,Desmopressin 
Mucolator Sachet  powder,Acetylcysteine
Methycobal ,Mecobalamin 
Maltofer  syrup,Iron Polymaltose
Maxius Lemon  lozenges,Tibezonium iodide
Montiget (pediatric Granules) ,Montelukast 
Motilium-V ,Domperidone Maleate 
Mebever MR  ,Mebeverine 
Moxiget ,"Moxifloxacin, Oral "
Mezeron ,Mirtazapine 
Moksi ,"Moxifloxacin, Oral"
Monis XR ,Isosorbide Mononitrate 
Mosegor  syrup,Pizotifen
MOSEGOR ,Pizotifen
Movcol  powder,Macrogol
Mytil ,Ciprofloxacin
MYTIL ,Ciprofloxacin
Maxfol ,Folic Acid 
Moxigan Opthalmic Solution ,"Moxifloxacin, Eye "
Myofolic  powder,Folic Acid
Mirena ,Levonorgestrel 
Monitor ,Bisoprolol 
Merol ,Metoprolol 
Monocor ,Bisoprolol 
Merol ,Metoprolol tartrate 
Metcon Plus ,Glibenclamide 
Megapride ,Glimepiride 
Metphage ,Metformin 
Mictra ,Tramadol 
Micort ,Isoconazole 
Metni-V ,Metronidazole 
Myzovag  cream,Miconazole
Medigesic ,Orphenadrine 
Medigesic Forte ,Orphenadrine 
Movax ,Tizanidine 
Musidin ,Tizanidine 
Muscor ,Thiocolchicoside 
Muscoril ,Thiocolchicoside 
Myolax ,Thiocolchicoside 
Myosoft ,Thiocolchicoside 
Misar H ,Telmisartan 
Macrobac ,Azithromycin 
Makazi ,Azithromycin 
Maldom ,Domperidone 
Motilium ,Domperidone 
Maldom ,Domperidone Maleate 
Moticol ,Domperidone Maleate 
Meldere ,Esomeperazole 
Maclacin ,Clarithromycin 
Maclara ,Clarithromycin 
Megaklar Ds ,Clarithromycin 
Megaklar ,Clarithromycin 
Maxidex ,Dexamethasone 
Mydex ,Dexamethasone 
Misonate ,Artesunate 
Mydrex ,Tropicamide 
Mydromide ,Tropicamide 
Mydropic ,Tropicamide 
Mingle ,Adapalene 
Mifate ,Amikacin 
Mycolock ,Ketoconazole 
Mifos ,Fosfomycin 
Mclevo ,Levofloxacin 
Mosl'VE ,Levofloxacin 
Moduretic ,Amiloride 
Meronem ,Meropenem 
Metaplaxel ,Paclitaxel 
Masacol ,Mesalazine 
Mycoderm ,Terbinafine
Maxipime ,Cefepime 
M-Span ,Cefixime 
M-Span DS,Cefixime 
Magnett ,Cefixime 
Magnett DS,Cefixime 
Maxima ,Cefixime 
Maxima DS,Cefixime 
Maxophine ,Cefixime 
Maxpan ,Cefixime 
Mixel ,Cefixime 
Mixel DS,Cefixime 
Mitaz ,Ceftazidime 
Maxef ,Ceftriaxone 
Mercefex ,Ceftriaxone 
Mylaxon ,Mecobalamin 
Meteospasmyl ,Alverine Citrate and Simethicone 
Moveryl ,Celecoxib 
Miso Plus ,Diclofenac Sodium and Misoprostol 
Magnofenac ,Diclofenac Sodium 
Mobikare ,Diclofenac Sodium 
Mobikare SR ,Diclofenac Sodium 
Mobikare DR ,Diclofenac Sodium 
Motaar ,Diclofenac Sodium 
Motaar SR ,Diclofenac Sodium 
Macprofen ,Ibuprofen 
Movelef ,Leflunomide 
Miura -D Ampoule ,Cholecaliceferol 
M-Com ,Meloxicam 
Melfax ,Meloxicam 
Melor ,Meloxicam 
Micam ,Meloxicam 
Mits DS ,Meloxicam 
Mits ,Meloxicam 
Mesulid ,Nimesulide 
Modact-IR ,Nimesulide 
Mobicam ,Piroxicam 
Melas Cream  cream,"Fusidic Acid, topical"
Menactra ,Meningitis vaccine A 
METEOR ,Metformin
Mibega ,Mirabegron 
M-Span ,Cefixime
Maltofer-Fol  tablet,Iron  Hydroxide Polymaltose Complex + Folic A
Maltofer  drops,Iron Polymaltose
Maxithro ,Azithromycin 
Metrozine ,Metronidazole 
Mosegor ,Pizotifen 
MNTK ,Montelukast 
Manipram ,Citalopram 
Myo Sachet  sachet,Folic Acid
Mofest ,"Moxifloxacin, Eye "
Mytil ,Ciprofloxacin 
Miura-D ,Cholecaliceferol 
Maradol ,Tramadol 
Monis ,Isosorbide Mononitrate 
Milron ,Nicronadil 
Mefnac D.S. ,Mefenamic Acid 
Momate ,"Mometasone Furoate, topical "
Maxfyl ,Doxofylline 
Mingair ,Montelukast 
Montair ,Montelukast 
Montaza ,Montelukast 
Montec ,Montelukast 
Mucosoft ,Montelukast 
Misar-AM ,Telmisartan 
Moxiopt (,"Moxifloxacin, Eye "
Mozart ,Risperidone 
Migram ,Flunarizine 
Miura ,Cholecalciferol 
Montika ,Montelukast 
M-Floxin ,"Moxifloxacin, Oral "
Momate    cream,"Mometasone Furoate, topical"
Mefnac ,Mefenamic Acid 
Mydosone        ,Prednisolone 
Moxilis ,"Moxifloxacin, Oral "
Merocit ,Meropenem 
Medimax Lotion ,Vitamin E
Mabil ,Mecobalamin 
Min-D (Suger Free) ,Cholecalciferol 
Min-D ,Cholecalciferol 
Metax ,L-Methylfolate 
Maxflow-D ,Dutasteride 
Mizicin ,Azithromycin 
Multibionta - M  capsule,Multivitamin and mineral
Maxna ,Tranexamic Acid 
Mecovate ,Mecobalamin 
Mether Plus  ,Artemether 
Mucaine  suspension,Aluminium Hydroxide
Meprex ,Esomeprazole 
Maxinoin ,Isotretinoin Oral 
Misar AM ,Amlodipine 
Misar ,Telmisartan
Methycobal Tablet ,Mecobalamin 
Minidiab ,Glipizide 
Metfor ,Metformin 
Mydosone ,Prednisolone 
Metodine DF ,Diloxanide Furoate 
Mildopred ,Prednisolone 
Methachlor  drops,Dexamethasone
Methachlor ,Dexamethasone 
Methasul ,Dexamethasone 
Maladar ,Sulfadoxine 
Mactifen ,Ketotifen 
Megit ,Meloxicam 
M-LOW ,Amlodipine
Myconil ,Nystatin 
Muconyl  syrup,Guaifenesin
Maxolon ,Metoclopramide HCl 
Mycon-H ,"Hydrocortisone and Miconazole, topical "
Micronema ,Enema Liquid
Meylon ,Sodium Bicarbonate 
Mycona-GB  cream,"Betamethasone Valerate, Topical"
Metrolis  suspension,Metronidazole
Metrolis ,Metronidazole 
Myrin ,Ethambutol 
Maltofer ,Iron Polymaltose
Myambutol ,Ethambutol 
Metodine DF ,Diloxanide 
Montika ,Montelukast
Mycitracin Plus  ointment,Neomycin
Maltofer Tablets  tablet,Iron Polymaltose
Meliane ,Gestodene 
Mepresor ,Metoprolol tartrate 
Megatop ,Metoprolol 
Meprol ,Metoprolol 
Medipride ,Glimepiride 
Mediryl ,Glimepiride 
Melitus ,Glimepiride 
Melnorm ,Glimepiride 
Metme ,Glimepiride 
Metwil xr ,Metformin 
M-Rid ,Rosiglitazone 
Magnus MR ,Morphine Sulphate 
Medicaine ,Lignocaine With Adrenaline 
Menwin ,Methyl testosterone 
Mazetol ,Carbamazepine 
Mezapine ,Carbamazepine 
Mezine ,Carbamazepine 
Magura ,Clonazepam 
Malprate-D ,Divalproex Sodium 
M.Gob ,Gabapentin 
Maxigab ,Gabapentin 
Mustop ,Topiramate 
Myclycin-V ,Clindamycin 
Mecare ,Isoconazole 
Metical-V ,Metronidazole 
Methergine ,Methylergometrine Maleate 
Muslax ,Atracurium Besylate 
Maxlax ,Tizanidine 
Micnic ,Tizanidine 
Molvcom ,Tizanidine 
Musrel ,Tizanidine 
Mylex ,Tizanidine 
Myodine ,Tizanidine 
Muscorex ,Thiocolchicoside 
Myogen ,Thiocolchicoside 
Myoron ,Thiocolchicoside 
Mesartin ,Telmisartan 
Mictel ,Telmisartan 
Misar ,Telmisartan 
Maxbon ,Alendronate 
Miacalcic ,Salcatonin 
Macrocap ,Azithromycin 
Macromax ,Azithromycin 
Macromyd ,Azithromycin 
Macrozith ,Azithromycin 
Maczin ,Azithromycin 
Mezethro ,Azithromycin 
Mezith ,Azithromycin 
Mezomed ,Azithromycin 
Mylide ,Azithromycin 
Myzi ,Azithromycin 
Maprid ,Domperidone 
Medidone ,Domperidone 
Milium ,Domperidone 
Molium ,Domperidone 
Moperium ,Domperidone 
Motedone ,Domperidone 
Motidil ,Domperidone 
Motil ,Domperidone 
Motireg ,Domperidone 
Makdone-M ,Domperidone Maleate 
Mendon ,Domperidone Maleate 
Milium V ,Domperidone Maleate 
Motilite ,Domperidone Maleate 
Map-Sap ,Esomeperazole 
Maxpro ,Esomeperazole 
Medirium ,Esomeperazole 
Meprium-L ,Esomeperazole 
Methax Ds ,Trimethoprim 
Minate ,Dimehydrinate 
Macroclar ,Clarithromycin 
Myret ,Dexamethasone 
Maxitrol ,Dexamethasone 
Mexazol ,Trimethoprim 
Macpar ,Clarithromycin 
Macrocid ,Clarithromycin 
Megamycin ,Clarithromycin 
Myclar ,Clarithromycin 
Mentin ,Amoxicillin 
Mebradex ,Dexamethasone 
Mebdal ,Mebhydrolin 
Mont Fex ,Montelukast 
Methagan ,Promethazine HCL 
Methazex ,Promethazine HCL 
Malasunate ,Artesunate 
Mether SP ,Artesunate 
Malarina ,Sulfadoxine 
Malarkil ,Sulfadoxine 
Malidar ,Sulfadoxine 
Mallar ,Sulfadoxine 
Malsidar ,Sulfadoxine 
Methodox ,Sulfadoxine 
Meriprin ,Aspirin 
Myprin ,Aspirin 
Mydolate ,Tropicamide 
Mydriacyl ,Tropicamide 
Microrid ,Amikacin 
Mikacin ,Amikacin 
Mink ,Amikacin 
Multiparin ,Heparin 
Monofer ,Iron Isomaltoside 1000 
Myso ,Isotretinoin Topical 
Meprium-L ,Esomeprazole 
Monocare ,Fluconazole 
Mycole ,Fluconazole 
Mobez ,Flurbiprofen 
Monurol ,Fosfomycin 
Manpro ,Lansoprazole 
Maclive ,Levofloxacin 
Mafox ,Levofloxacin 
Mariflox ,Levofloxacin 
Maxlevo ,Levofloxacin 
Medac ,Levofloxacin 
Melcin ,Levofloxacin 
Mevoflox ,Levofloxacin 
Montlevo ,Levofloxacin 
Mebendazole ,Mebendazole 
Menarex ,Mebendazole 
Mendazole ,Mebendazole 
Melpha ,Melphalan 
Mercaprine ,Mercaptopurine 
Merem ,Meropenem 
Merocin ,Meropenem 
Merocon ,Meropenem 
Minoderm ,Minocycline 
Minogen ,Minocycline 
Minolox ,Minocycline 
Monocin ,Minocycline 
Mepnam ,Piperacillin 
Medizinamide ,Pyrazinamide 
Mixtard ,"Insulin Regular and Isophane Insulin, Human "
Maxpril ,Enalapril Maleate 
Makupril ,Quinapril 
Mapril ,Ramipril 
Mixtard ,Soluble HM insulin 
Mide ,Loperamide 
Mafnol ,Mefenamic Acid 
Mamic ,Mefenamic Acid 
Medgesic ,Mefenamic Acid 
Medocid ,Mefenamic Acid 
Mefacid ,Mefenamic Acid 
Mefac ,Mefenamic Acid 
Mefac Forte ,Mefenamic Acid 
Mefadil ,Mefenamic Acid 
